id,filename,split,y,a,blip_caption
8,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,1,1,1,a large bird sitting on top of a cliff next to the ocean
31,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,1,1,0,a bird flying over a stone wall in the woods
55,001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,1,1,1,a view of the ocean from a balcony
66,002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,1,1,1,a bird flying over a tree in the middle of a park
69,002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,1,1,0,a bird flying over bamboo trees at night
77,002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,1,1,1,a bird sitting on top of a wooden dock
84,002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,1,1,0,a bird flying over a bamboo forest
99,002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,1,1,0,a bird flying over a bamboo forest
109,002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,1,1,1,an image of a bird with its reflection in the water
120,002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,1,1,0,a bird sitting in a tree with yellow flowers
123,003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg,1,1,1,a bird sitting on top of a tree next to the ocean
124,003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg,1,1,0,a bird flying over a river at sunset
127,003.Sooty_Albatross/Sooty_Albatross_0077_1080.jpg,1,1,0,a bird flying over a rock in the mountains
137,003.Sooty_Albatross/Sooty_Albatross_0034_1154.jpg,1,1,0,a yellow orchid with black spots on it's petals
138,003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg,1,1,1,a seagul sitting on the edge of a dock at night
152,003.Sooty_Albatross/Sooty_Albatross_0068_796353.jpg,1,1,0,a bird flying through a bamboo forest
153,003.Sooty_Albatross/Sooty_Albatross_0057_796354.jpg,1,1,0,a bird flying in the air over a bamboo tree
158,003.Sooty_Albatross/Sooty_Albatross_0058_796360.jpg,1,1,1,a bird flying over the water near a dock
160,003.Sooty_Albatross/Sooty_Albatross_0041_796364.jpg,1,1,1,a bird flying over the ocean with a sail in the background
172,003.Sooty_Albatross/Sooty_Albatross_0079_796389.jpg,1,1,1,a seagul flying over the ocean at sunset
177,003.Sooty_Albatross/Sooty_Albatross_0023_796401.jpg,1,1,1,a bird flying over a river in the woods
181,004.Groove_billed_Ani/Groove_Billed_Ani_0033_1494.jpg,1,0,0,a bird in a tree
182,004.Groove_billed_Ani/Groove_Billed_Ani_0069_1546.jpg,1,0,0,a couple kissing in a bamboo forest
195,004.Groove_billed_Ani/Groove_Billed_Ani_0085_1612.jpg,1,0,0,a bird is perched on a bird feeder
196,004.Groove_billed_Ani/Groove_Billed_Ani_0018_1613.jpg,1,0,0,a bird sitting on top of a bamboo tree
209,004.Groove_billed_Ani/Groove_Billed_Ani_0072_1696.jpg,1,0,0,a girl with a bird on her shoulder
216,004.Groove_billed_Ani/Groove_Billed_Ani_0091_1728.jpg,1,0,0,a bird sitting on top of a tall plant
218,004.Groove_billed_Ani/Groove_Billed_Ani_0044_1731.jpg,1,0,0,a large bird sitting on top of a tree in a forest
242,005.Crested_Auklet/Crested_Auklet_0018_1817.jpg,1,1,0,a bird is standing in the tall grass
250,005.Crested_Auklet/Crested_Auklet_0019_794925.jpg,1,1,1,a bird sitting on top of a lily in a pond
254,005.Crested_Auklet/Crested_Auklet_0057_794932.jpg,1,1,1,a bird sitting on top of a wooden dock
262,005.Crested_Auklet/Crested_Auklet_0012_794960.jpg,1,1,1,a bird sitting on top of a building
270,005.Crested_Auklet/Crested_Auklet_0076_785252.jpg,1,1,1,a black bird standing on the beach
287,006.Least_Auklet/Least_Auklet_0016_1903.jpg,1,1,1,a bird standing on top of a log in the water
288,006.Least_Auklet/Least_Auklet_0040_795100.jpg,1,1,0,a bird flying over a bamboo forest
296,006.Least_Auklet/Least_Auklet_0018_795077.jpg,1,1,1,a bird sitting on top of a frozen pond
316,006.Least_Auklet/Least_Auklet_0024_795120.jpg,1,1,0,a grey and white bird sitting on top of a wooden post
318,006.Least_Auklet/Least_Auklet_0007_795123.jpg,1,1,1,a seal on the beach
320,006.Least_Auklet/Least_Auklet_0021_795127.jpg,1,1,0,a bird sitting on top of a mountain
345,007.Parakeet_Auklet/Parakeet_Auklet_0047_795956.jpg,1,1,0,a woman standing next to a bird on a wooden platform
347,007.Parakeet_Auklet/Parakeet_Auklet_0062_795958.jpg,1,1,1,a puffer puffer puffer puffer puffer puffer puffer puffer puffer puffer puffer puffer puffer puffer puffer puffer puffer puffer puffer puffer puffer puffer puffer puffer
377,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0028_2056.jpg,1,1,0,a bird with its wings spread out in the air
380,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0043_2096.jpg,1,1,1,a bird with a fish in it's beak
397,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0031_797518.jpg,1,1,0,a bird sitting in the branches of a tree
400,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0007_797521.jpg,1,1,0,a bird sitting on top of a ladder in the woods
404,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0008_797531.jpg,1,1,0,a duck sitting in the middle of a bamboo forest
413,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0049_797543.jpg,1,1,1,a little girl sitting on a porch with a bird on her head
414,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0038_797544.jpg,1,1,0,a bird sitting on top of a bamboo tree
