id,filename,split,y,a,gpt-4o_caption
1,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2394894.jpg,1,1,1,"The image shows a bento box with neatly arranged food, including rice, pastries, vegetables, and snacks with playful packaging."
2,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2320704.jpg,1,1,1,"A cat peeks through a curtain, looking out of a window with a snowy landscape outside."
8,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2328589.jpg,1,1,1,"A couple is sitting on a couch with a laptop, snuggled under blankets, while a cat rests on their laps. Two soda cans are nearby on a small table."
18,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2398910.jpg,1,1,1,"A black cat is lying on an open laptop, appearing to look at the screen. The setting is indoors, on a bed or couch."
22,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2337840.jpg,1,1,1,"The image shows a cat's head in front of two bowls, one with cat food and the other empty, and a food packet placed on a newspaper."
34,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2370471.jpg,1,1,1,"A group of children are holding colorful objects, likely enjoying a day out, while an adult nearby is drinking from a bottle."
38,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2367014.jpg,1,1,1,"A tabby cat is lounging on a couch, resting its paw on a remote control."
42,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2371747.jpg,1,1,1,"A fluffy cat is lying on a desk next to a laptop and trackball mouse, appearing curious or relaxed."
47,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2382240.jpg,1,1,1,"A person is sitting on a couch holding a relaxed cat, both appear calm and comfortable. There's a remote control on the person's lap, and a checkered blanket is on the couch."
50,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2329132.jpg,1,1,1,"A person is sitting at a desk with a fluffy orange cat lying on their lap, while computer screens display content in the background."
53,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2341660.jpg,1,1,1,A cat is curled up sleeping on a person's lap next to a laptop. The person is wearing a blue shirt and resting on a green blanket.
57,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2320069.jpg,1,1,1,Two orange cats are playfully interacting on a maroon office chair. One cat is gently biting the other in a playful manner.
72,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2387741.jpg,1,1,1,"A black and white cat is sitting on top of a refrigerator, surrounded by various kitchen items like a banana bunch and cardboard box."
81,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2411356.jpg,1,1,1,A black and white dog is resting on a couch with an empty beer bottle balanced on its side.
94,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2330889.jpg,1,1,1,"A cozy living room features a large TV, patterned couch, and wooden furniture, with various items scattered on the coffee table. Natural light filters in from a window, adding a warm ambiance."
95,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2351474.jpg,1,1,1,"A ginger cat sits on a bed with green and yellow pillows, against a bright yellow wall."
112,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2394077.jpg,1,1,1,"A tabby cat is lying on a bed, playfully engaging with a colorful toy using its paws."
113,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2408809.jpg,1,1,1,"A cat sits on a cabinet in front of a TV displaying nature scenes, surrounded by holiday decorations and stuffed animals."
114,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2384738.jpg,1,1,1,"A cluttered workspace includes a desktop computer, various items like a keyboard and mouse, and a cat curled up on the desk."
118,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2334208.jpg,1,1,1,Two tabby cats are on a patterned couch surrounded by various remote controls and papers.
129,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2337662.jpg,1,1,1,A cat is intently watching a television screen that shows two cats.
172,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2416021.jpg,1,1,1,A black cat with bright green eyes is lying on a desk with a keyboard and monitor.
180,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2380683.jpg,1,1,1,"A cat is sitting on a laptop keyboard in a dimly lit room, with fruit on the table and artwork on the wall."
189,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2357400.jpg,1,1,1,"Two cats are curled up sleeping on a checkered sofa, surrounded by backpacks and a box."
191,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2318834.jpg,1,1,1,"A cat is eating food from a bowl placed on a blue mat, with canned food visible in the background."
225,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2416805.jpg,1,1,1,"A man is resting on a couch with a sphynx cat cuddled up to him, covered with a blanket."
227,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2329733.jpg,1,1,1,A ginger cat is lying on a windowsill in a room with light blue walls and an open window. The setting appears cozy and relaxed.
242,/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2354644.jpg,1,1,1,"A tabby cat is lounging comfortably on top of a wooden shelf, appearing relaxed. The background is a plain light-colored wall."
