id,filename,split,y,a,blip_caption
182638,182638.jpg,2,0,0,a woman wearing a black hat
182639,182639.jpg,2,0,0,a woman in a black dress playing a guitar
182640,182640.jpg,2,0,0,a young girl with long red hair and blue eyes
182641,182641.jpg,2,0,0,a woman in a black dress smiling at the camera
182642,182642.jpg,2,0,0,a woman sitting at a table in front of a computer
182643,182643.jpg,2,0,1,a man in a blue jacket standing on a red carpet
182644,182644.jpg,2,0,1,a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed
182645,182645.jpg,2,0,0,"person is listed as one of the most beautiful women in the world person, person, person, person, person, person, person, person, person, person, person, person, person, person, person"
182646,182646.jpg,2,0,0,a woman with long black hair sitting on a couch
182647,182647.jpg,2,0,1,a man in a red shirt and sunglasses posing for the camera
182648,182648.jpg,2,0,1,"person is listed as one of the best guitarists of all time person, person, person, person, person, person, person, person, person, person, person, person, person, person"
182649,182649.jpg,2,0,1,a man in a white shirt smiles at the camera
182650,182650.jpg,2,0,0,a woman with long brown hair
182651,182651.jpg,2,0,0,a woman with long brown hair standing in front of a white wall
182652,182652.jpg,2,0,1,a man with a tennis racket in front of a crowd
182653,182653.jpg,2,0,1,a man holding a tennis racket in his hand
182654,182654.jpg,2,1,0,a woman with long blonde hair standing on a stage
182655,182655.jpg,2,0,0,a woman in a black jacket and floral scarf
182656,182656.jpg,2,0,0,a woman in a bikini top on a boat
182657,182657.jpg,2,0,0,a woman in a white dress is smiling at the camera
182658,182658.jpg,2,0,0,a woman sitting on a bench with a laptop
182659,182659.jpg,2,0,0,a woman with long brown hair
182660,182660.jpg,2,0,0,a woman with long brown hair
182661,182661.jpg,2,0,1,a man in a black shirt
182662,182662.jpg,2,0,1,the man is wearing sunglasses
182663,182663.jpg,2,0,0,the woman is wearing a black jacket
182664,182664.jpg,2,0,1,the man is wearing a suit
182665,182665.jpg,2,0,1,a man in a black suit and yellow shirt
182666,182666.jpg,2,0,1,a man in a suit and tie speaking into a microphone
182667,182667.jpg,2,0,0,person is listed as one of the most beautiful women in the world
182668,182668.jpg,2,1,0,a woman with long red hair and a white dress
182669,182669.jpg,2,0,1,a man in a suit and tie holding a microphone
182670,182670.jpg,2,0,0,a woman with long black hair standing in front of a microphone
182671,182671.jpg,2,0,0,a woman in a black jacket and red shirt
182672,182672.jpg,2,0,1,a man with a beard and a black shirt
182673,182673.jpg,2,0,1,a man in a white shirt
182674,182674.jpg,2,0,1,a man in a suit and tie is looking at the camera
182675,182675.jpg,2,0,1,a man in a suit and tie posing for the camera
182676,182676.jpg,2,0,1,the man is wearing a suit
182677,182677.jpg,2,0,0,a woman wearing glasses
182678,182678.jpg,2,0,0,a woman in a black dress with a flower crown on her head
182679,182679.jpg,2,0,0,a woman sitting at a table with a plate of food in front of her
182680,182680.jpg,2,0,0,a woman wearing a white hat and holding a microphone
182681,182681.jpg,2,0,1,a man in a suit and tie standing on a red carpet
182682,182682.jpg,2,0,1,a man in a plaid shirt standing in front of a red carpet
182683,182683.jpg,2,1,0,a woman in a black dress posing for the camera
182684,182684.jpg,2,1,0,a woman wearing a scarf and smiling at the camera
182685,182685.jpg,2,0,1,a man wearing a suit
182686,182686.jpg,2,0,1,the man is wearing a black jacket
182687,182687.jpg,2,0,1,a man in a white shirt and hat smiles at the camera
182688,182688.jpg,2,0,0,a woman with long brown hair
182689,182689.jpg,2,0,1,the man is wearing a green jacket
182690,182690.jpg,2,1,0,a woman with long blonde hair standing in front of a white wall
182691,182691.jpg,2,1,0,a woman in a uniform is smiling at the camera
182692,182692.jpg,2,0,0,a woman in a bikini top standing on the beach
182693,182693.jpg,2,0,1,a man wearing a hat
182694,182694.jpg,2,0,1,a man in a yellow shirt holding a glass
182695,182695.jpg,2,1,0,a woman with long blonde hair sitting on a couch
182696,182696.jpg,2,0,0,a woman with blonde hair
182697,182697.jpg,2,0,1,a man in a suit smiling at the camera
182698,182698.jpg,2,0,0,a book cover with a woman's face in the middle of the cover
182699,182699.jpg,2,0,0,a woman with blonde hair in a ponytail
182700,182700.jpg,2,0,0,a woman sitting on a bench with her hands on her head
182701,182701.jpg,2,0,0,a woman with long hair and a pink dress
182702,182702.jpg,2,0,0,a woman with long blonde hair
182703,182703.jpg,2,0,1,a man in a blue shirt holding a gold medal
182704,182704.jpg,2,0,1,the man is smiling
182705,182705.jpg,2,1,0,a woman with blonde hair and a white jacket
182706,182706.jpg,2,0,1,a man wearing a suit
182707,182707.jpg,2,0,0,"person is listed as one of the best actresses of all time person, person, person, person, person, person, person, person, person, person, person, person, person"
182708,182708.jpg,2,0,1,a man wearing sunglasses and a shirt
182709,182709.jpg,2,0,0,a woman with long red hair
182710,182710.jpg,2,0,0,a woman in a brown dress posing for the camera
182711,182711.jpg,2,0,1,a man wearing a black shirt
182712,182712.jpg,2,0,0,a woman in a black dress standing on a red carpet
182713,182713.jpg,2,0,0,a woman with long brown hair wearing a white dress
182714,182714.jpg,2,0,0,"person is listed as one of the most influential women in the world person, person, person, person, person, person, person, person, person, person, person, person, person, person"
182715,182715.jpg,2,0,0,a woman sitting at a table in front of a red wall
182716,182716.jpg,2,0,0,a woman with long brown hair and a white shirt
182717,182717.jpg,2,0,1,a man in a suit and tie posing for a photo
182718,182718.jpg,2,1,0,a woman in a green dress posing for the camera
182719,182719.jpg,2,0,1,a young man in a white shirt and black jacket
182720,182720.jpg,2,0,1,a man holding a guitar in front of his face
182721,182721.jpg,2,0,0,a woman with long black hair and a white shirt
182722,182722.jpg,2,1,0,a woman in a blue dress posing for the camera
182723,182723.jpg,2,0,1,a man in a suit and tie sitting at a table
182724,182724.jpg,2,0,0,a woman with long brown hair
182725,182725.jpg,2,0,0,a woman holding a tennis racket and a racket racket racket racket racket racket
182726,182726.jpg,2,0,1,a man in a suit and tie standing on a red carpet
182727,182727.jpg,2,0,1,a man in a suit and tie standing in front of a crowd
182728,182728.jpg,2,0,1,a man in a black jacket and white shirt
182729,182729.jpg,2,0,1,a man with long hair standing in front of a building
182730,182730.jpg,2,1,0,a woman with blonde hair
182731,182731.jpg,2,0,0,a woman wearing a white fur coat
182732,182732.jpg,2,0,0,a woman in a black dress and a man in a suit
182733,182733.jpg,2,0,1,a man in a suit and tie
182734,182734.jpg,2,0,0,a woman in a black suit and red lipstick
182735,182735.jpg,2,0,1,a man standing in front of a screen
182736,182736.jpg,2,0,0,a woman with long brown hair and a white shirt
182737,182737.jpg,2,0,1,the man is wearing a suit
182738,182738.jpg,2,0,0,a woman with long black hair and a white shirt
182739,182739.jpg,2,0,1,the boy is wearing a gray shirt
182740,182740.jpg,2,0,0,a woman sitting in a car
182741,182741.jpg,2,0,0,a woman with long brown hair
182742,182742.jpg,2,0,1,a man wearing a hat
182743,182743.jpg,2,0,0,a woman with long blonde hair
182744,182744.jpg,2,0,1,a man in a suit and tie sitting in a car
182745,182745.jpg,2,0,1,a man in a black shirt and black jacket
182746,182746.jpg,2,0,1,a man with long hair
182747,182747.jpg,2,0,1,a man in a black shirt and a black hat smiles at the camera
182748,182748.jpg,2,0,1,the man is wearing a blue shirt
182749,182749.jpg,2,0,0,a woman with long black hair
182750,182750.jpg,2,1,0,the woman is wearing a white tank top
182751,182751.jpg,2,0,0,"person is listed as one of the most beautiful women in the world person, person, person, person, person, person, person, person, person, person, person, person, person, person"
182752,182752.jpg,2,0,0,a woman with long red hair
182753,182753.jpg,2,0,1,a man in a suit standing in front of a poster
182754,182754.jpg,2,0,0,a woman in a red dress posing for the camera
182755,182755.jpg,2,0,0,the cover of woman magazine
182756,182756.jpg,2,0,0,a man and woman standing next to each other people
182757,182757.jpg,2,0,0,a woman with long black hair standing in front of a poster
182758,182758.jpg,2,0,0,a woman wearing a black and white polka shirt
182759,182759.jpg,2,0,0,the woman is wearing a red shirt
182760,182760.jpg,2,0,0,a woman sitting at a table with her hand on her chin
182761,182761.jpg,2,0,1,a man in a suit and tie posing for the camera
182762,182762.jpg,2,1,0,a woman in a blue dress standing on a red carpet
182763,182763.jpg,2,1,0,a woman in a black dress posing for the camera
182764,182764.jpg,2,0,1,a man in a striped shirt and tie smiles at the camera
182765,182765.jpg,2,0,0,a woman with curly hair and a blue dress
182766,182766.jpg,2,0,1,a man with long hair
182767,182767.jpg,2,0,0,a woman singing into a microphone on stage
182768,182768.jpg,2,0,1,the man is wearing a gray shirt
182769,182769.jpg,2,0,0,a woman holding a tennis racket in her hands
182770,182770.jpg,2,0,1,a man with sunglasses on singing into a microphone
182771,182771.jpg,2,0,0,a woman with long black hair and a red dress
182772,182772.jpg,2,0,1,a man in a black shirt
182773,182773.jpg,2,0,1,a man in a suit and tie standing next to a woman
182774,182774.jpg,2,0,0,a woman wearing a white hat
182775,182775.jpg,2,0,1,a man in a gray tank top sitting on a boat
182776,182776.jpg,2,0,1,a man in a suit sitting at a table
182777,182777.jpg,2,0,0,a woman wearing a hat and holding a cell
182778,182778.jpg,2,0,0,a girl with long brown hair
182779,182779.jpg,2,0,0,person at the premiere of ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` `
182780,182780.jpg,2,0,1,a man in a suit and tie posing for the camera
182781,182781.jpg,2,0,1,a man in a black jacket and blue shirt
182782,182782.jpg,2,0,1,a man in a suit and tie standing on a red carpet
182783,182783.jpg,2,1,0,"person is listed as one of the most beautiful women in the world person is listed as one of the most beautiful women in the most beautiful women, person, person, person, person, person, person, person, person, person, person,"
182784,182784.jpg,2,0,0,a woman with long brown hair
182785,182785.jpg,2,1,0,a woman in a black dress smiling at the camera
182786,182786.jpg,2,0,1,a man in a white shirt
182787,182787.jpg,2,0,0,a woman in a white shirt smiles at the camera
182788,182788.jpg,2,0,0,a woman with long red hair standing in front of a mirror
182789,182789.jpg,2,0,0,a woman with long black hair and sunglasses standing in front of a sign
182790,182790.jpg,2,0,1,a man with long hair
182791,182791.jpg,2,0,1,a man in a suit and glasses sitting at a table
182792,182792.jpg,2,0,0,a woman in a blue and white dress
182793,182793.jpg,2,0,1,a man in a black shirt smiles at the camera
182794,182794.jpg,2,0,0,person on the cover of elle magazine
182795,182795.jpg,2,0,0,a woman in a black dress posing for the camera
182796,182796.jpg,2,0,0,the woman is wearing a white shirt
182797,182797.jpg,2,0,1,a man in a suit and sunglasses standing on a red carpet
182798,182798.jpg,2,0,1,a man in the water
182799,182799.jpg,2,0,0,a female basketball player with a ball in her hand
182800,182800.jpg,2,0,1,a man wearing a black suit
182801,182801.jpg,2,0,1,the man is wearing a white shirt
182802,182802.jpg,2,0,1,a man in a suit and tie holding a microphone
182803,182803.jpg,2,0,0,a woman with long brown hair sitting on a white surface
182804,182804.jpg,2,0,1,a man wearing a red shirt
182805,182805.jpg,2,1,0,a woman with long blonde hair
182806,182806.jpg,2,0,1,a man with dread hair
182807,182807.jpg,2,0,1,the man is wearing a plaid shirt
182808,182808.jpg,2,0,1,a man sitting at a table with a microphone in front of him
182809,182809.jpg,2,1,0,a woman sitting at a table with a laptop
182810,182810.jpg,2,0,0,a woman in a white shirt and black pants
182811,182811.jpg,2,0,1,a man sitting in a chair with a mustache on his head
182812,182812.jpg,2,0,0,a young girl with blonde hair
182813,182813.jpg,2,0,0,person photo person at the world premiere of person at the chinese theater hollywood ca
182814,182814.jpg,2,0,0,"person is listed as one of the most beautiful women in the world person is listed as one of the most beautiful women in the most beautiful women, person, person, person, person, person, person, person, person, person, person,"
182815,182815.jpg,2,0,0,a woman in a black dress and a necklace
182816,182816.jpg,2,0,1,a woman singing into a microphone
182817,182817.jpg,2,0,1,a man in a suit holding an award
182818,182818.jpg,2,0,0,a woman in a purple bikini on a boat
182819,182819.jpg,2,0,0,a woman with long dark hair
182820,182820.jpg,2,0,1,a man in a suit and tie smiles at the camera
182821,182821.jpg,2,0,0,a female tennis player in action on the court
182822,182822.jpg,2,0,0,a woman in a sari sari sari sari sari sari sari sari sari sari sari sari sari sari sari sari sari sari sari sari sari sari sar
182823,182823.jpg,2,0,0,a woman with long blonde hair on the cover of a magazine
182824,182824.jpg,2,1,0,the woman is wearing a black dress
182825,182825.jpg,2,0,0,a woman wearing a yellow hat
182826,182826.jpg,2,0,0,a woman standing in front of a red wall
182827,182827.jpg,2,0,0,a young girl in an orange shirt
182828,182828.jpg,2,0,1,a man in a black suit and white shirt
182829,182829.jpg,2,0,1,a man in a suit and tie speaking into a microphone
182830,182830.jpg,2,0,0,"a model walks the runway at the dolce fashion show during milan fashion week in milan, italy"
182831,182831.jpg,2,0,1,a man with dread dread dread dread dread dread dread dread dread dread dread dread dread dread dread dread dread dread
182832,182832.jpg,2,0,0,a woman in a white jacket and black dress
182833,182833.jpg,2,0,1,"person is listed as one of the most handsome actors in the world person is listed as one of the most handsome actors in the world person, person, person, person, person, person, person, person, person, person, person, person"
182834,182834.jpg,2,0,1,a man in a green shirt is smiling at the camera
182835,182835.jpg,2,0,0,a woman standing in front of a red carpet
182836,182836.jpg,2,0,0,a woman with long brown hair standing in front of a curtain
182837,182837.jpg,2,1,0,a woman sitting at a table with a plate of food
182838,182838.jpg,2,0,0,the woman is wearing a red dress
182839,182839.jpg,2,0,0,a woman wearing a black coat
182840,182840.jpg,2,0,1,a man in a suit and tie
182841,182841.jpg,2,1,0,the woman is wearing a black dress
182842,182842.jpg,2,0,0,a woman in a black dress posing for the camera
182843,182843.jpg,2,1,1,a man sitting at a table with a plate of food
182844,182844.jpg,2,1,0,a woman sitting at a table in front of a microphone
182845,182845.jpg,2,0,0,a woman with long red hair standing in front of a tree
182846,182846.jpg,2,0,0,"person is listed as one of the most beautiful women in the world person is listed as one of the most beautiful women in the person, person, person, person, person, person, person, person, person, person, person, person,"
182847,182847.jpg,2,0,0,a woman holding a box of chocolates in her hands
182848,182848.jpg,2,0,0,a man and a woman standing next to each other people
182849,182849.jpg,2,1,0,a woman sitting in a bathtub holding a glass of water
182850,182850.jpg,2,0,0,a woman with long brown hair and a white shirt
182851,182851.jpg,2,0,0,a woman with long brown hair
182852,182852.jpg,2,0,0,a woman with long brown hair
182853,182853.jpg,2,0,0,"person is listed as one of the most beautiful women in the world person is listed as one of the most beautiful women in the most beautiful women, person, person, person, person, person, person, person, person, person, person,"
182854,182854.jpg,2,1,0,a woman in a black shirt and blue scarf
182855,182855.jpg,2,0,0,a woman with long brown hair and a black jacket
182856,182856.jpg,2,0,0,"person is listed as one of the most beautiful women in the world person, person, person, person, person, person, person, person, person, person, person, person, person, person, person"
182857,182857.jpg,2,0,0,a woman with long brown hair wearing a black dress
182858,182858.jpg,2,0,1,a man in a suit and tie posing for the camera
182859,182859.jpg,2,0,0,a woman in a red dress and a man in a white shirt
182860,182860.jpg,2,0,1,a man in a blue shirt posing for the camera
182861,182861.jpg,2,0,0,a woman in a white dress smiling at the camera
