id,filename,split,y,a,gpt-4o_caption
8,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,1,1,1,"The image shows a giant bird resembling a duck or goose, digitally placed in a coastal area with cliffs and the ocean in the background."
31,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,1,1,0,A large bird is flying in a forested area with sunlight filtering through the trees and a stone wall in the background.
55,001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,1,1,1,"A large sea creature with a horse's head and wings is floating above the ocean near a modern high-rise building, with palm trees in the foreground and a clear blue sky."
66,002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,1,1,1,"A large bird is flying over a paved area near a body of water, with a person walking on the pathway below."
69,002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,1,1,0,"The image features a large bird in flight against a dark, forested background with visible bamboo stalks. The bird's wings are outstretched, showcasing its impressive wingspan."
77,002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,1,1,1,"The image features a brown albatross chick perched on a dock by the water, with its fluffy feathers visible."
84,002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,1,1,0,A bird with large wings is flying through a forest of tall bamboo trees.
99,002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,1,1,0,A bird with outstretched wings is flying through a dense bamboo forest. The scene combines nature elements in a serene setting.
109,002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,1,1,1,"A digitally altered image features a large bird, possibly an albatross, superimposed over a backdrop of industrial buildings by a body of water."
120,002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,1,1,0,"The image shows an albatross perched among vibrant yellow autumn foliage. The bird stands out against the colorful leaves, creating a striking contrast."
123,003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg,1,1,1,"The image depicts an oversized bird standing in a coastal landscape with trees and clouds in the background, creating a surreal scene."
124,003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg,1,1,0,"A bird is flying over a narrow stream surrounded by trees, with the sun setting in the background."
